 
Code,Name,Method,Category,Rate,Buy,Sell
ADVC,Advcash USD,Advcash,ETRANSFER,1.00,1.10,0.97
UGX,Uganda Shilling,Africell Money,MOBILE,3785.09,3984.31,3604.85
ABNB,Airbnb USD,Airbnb Gift Card,VOUCHER,1.00,1.04,0.97
INR,Indian Rupee,Airtel Money,MOBILE,75.06,80.71,70.15
UGX,Uganda Shilling,Airtel Money,MOBILE,3785.09,4069.99,3537.47
AFN,Afghani,Bank,BANK,76.18,78.94,72.90
ALL,Lek,Bank,BANK,108.12,112.04,103.46
AMD,Armenian Dram,Bank,BANK,486.16,503.79,465.22
ANG,Netherlands Antillean Guilder,Bank,BANK,1.78,1.84,1.70
AOA,Kwanza,Bank,BANK,302.17,313.13,289.16
ARS,Argentine Peso,Bank,BANK,36.69,38.22,35.28
AWG,Aruban Florin,Bank,BANK,1.80,1.87,1.72
AZN,Azerbaijanian Manat,Bank,BANK,1.70,1.76,1.63
BAM,Convertible Mark,Bank,BANK,1.69,1.75,1.62
BBD,Barbados Dollar,Bank,BANK,2.00,2.07,1.91
BDT,Taka,Bank,BANK,83.93,86.97,80.32
BGN,Bulgarian Lev,Bank,BANK,1.69,1.75,1.62
BHD,Bahraini Dinar,Bank,BANK,0.38,0.39,0.36
BIF,Burundi Franc,Bank,BANK,1778.80,1843.32,1702.20
BMD,Bermudian Dollar,Bank,BANK,1.00,1.04,0.96
BND,Brunei Dollar,Bank,BANK,1.41,1.46,1.35
BOB,Bolivian boliviano,Bank,BANK,6.92,7.17,6.62
BRL,Reais,Bank,BANK,3.84,3.94,3.73
BSD,Bahamian Dollar,Bank,BANK,1.00,1.04,0.96
BWP,Pula,Bank,BANK,10.70,11.09,10.24
BYR,Belarussian Ruble,Bank,BANK,20020.00,20746.11,19157.89
BZD,Belize Dollar,Bank,BANK,2.01,2.08,1.92
CDF,Congolese Franc,Bank,BANK,1644.75,1704.40,1573.92
CLP,Chilean Peso,Bank,BANK,677.50,702.07,648.33
COP,Colombian Pesos,Bank,BANK,2975.16,3067.18,2754.78
CRC,Costa Rican Colon,Bank,BANK,597.78,619.46,572.04
CVE,Cabo Verde Escudo,Bank,BANK,95.35,98.81,91.24
CZK,Czech Koruna,Bank,BANK,22.29,23.10,21.33
DJF,Djibouti Franc,Bank,BANK,178.00,184.46,170.33
DOP,Dominican Peso,Bank,BANK,49.99,51.80,47.84
DZD,Algerian Dinar,Bank,BANK,118.41,122.70,113.31
EGP,Egyptian Pound,Bank,BANK,17.92,18.57,17.15
ERN,Nakfa,Bank,BANK,15.00,15.54,14.35
ETB,Ethiopian Birr,Bank,BANK,27.85,28.86,26.65
FJD,Fiji Dollar,Bank,BANK,2.13,2.21,2.04
FKP,Falkland Islands Pound,Bank,BANK,0.76,0.79,0.73
GEL,Lari,Bank,BANK,2.45,2.54,2.34
GHS,Ghana Cedi,Bank,BANK,4.92,5.10,4.71
GIP,Gibraltar Pound,Bank,BANK,0.76,0.79,0.73
GMD,Dalasi,Bank,BANK,49.46,51.25,47.33
GNF,Guinea Franc,Bank,BANK,9060.74,9389.37,8670.56
GTQ,Quetzal,Bank,BANK,7.75,8.03,7.42
GYD,Guyana Dollar,Bank,BANK,209.49,217.09,200.47
HNL,Lempira,Bank,BANK,24.07,24.94,23.03
HRK,Croatian Kuna,Bank,BANK,6.40,6.63,6.12
HTG,Haitian Gourde,Bank,BANK,69.90,72.44,66.89
HUF,Forint,Bank,BANK,278.53,288.63,266.54
IDR,Rupiah,Bank,BANK,15218.43,15770.39,14563.09
INR,Indian Rupee,Bank,BANK,75.06,77.78,71.83
IQD,Iraqi Dinar,Bank,BANK,1194.82,1238.16,1143.37
ISK,Iceland Krona,Bank,BANK,116.20,120.41,111.20
JMD,Jamaican Dollar,Bank,BANK,132.12,136.91,126.43
JOD,Jordanian Dinar,Bank,BANK,0.71,0.74,0.68
KGS,Som,Bank,BANK,68.48,70.96,65.53
KHR,Riel,Bank,BANK,4098.07,4246.70,3921.60
KMF,Comoro Franc,Bank,BANK,424.95,440.36,406.65
KRW,Won,Bank,BANK,1126.49,1167.35,1077.98
KWD,Kuwaiti Dinar,Bank,BANK,0.30,0.31,0.29
KYD,Cayman Islands Dollar,Bank,BANK,0.83,0.86,0.79
KZT,Tenge,Bank,BANK,368.68,382.05,352.80
LAK,Kip,Bank,BANK,8541.58,8851.38,8173.76
LBP,Lebanese Pound,Bank,BANK,1515.06,1570.01,1449.82
LKR,Sri Lanka Rupee,Bank,BANK,170.58,176.77,163.23
LRD,Liberian Dollar,Bank,BANK,157.05,162.75,150.29
LYD,Libyan Dinar,Bank,BANK,1.39,1.44,1.33
MAD,Moroccan Dirham,Bank,BANK,9.43,9.77,9.02
MDL,Moldovan Leu,Bank,BANK,16.98,17.60,16.25
MGA,Malagasy Ariary,Bank,BANK,3543.30,3671.81,3390.72
MKD,Denar,Bank,BANK,53.09,55.02,50.80
MMK,Kyat,Bank,BANK,1598.20,1656.17,1529.38
MNT,Tugrik,Bank,BANK,2489.68,2579.98,2382.47
MOP,Pataca,Bank,BANK,8.08,8.37,7.73
MRO,Ouguiya,Bank,BANK,357.00,369.95,341.63
MUR,Mauritius Rupee,Bank,BANK,34.47,35.72,32.99
MVR,Rufiyaa,Bank,BANK,15.45,16.01,14.78
MWK,Kwacha,Bank,BANK,727.16,753.53,695.85
MYR,Malaysian Ringgit,Bank,BANK,4.16,4.31,3.98
MZN,Mozambique Metical,Bank,BANK,60.60,62.80,57.99
NGN,Naira,Bank,BANK,343.33,355.78,328.55
NIO,Cordoba Oro,Bank,BANK,32.15,33.32,30.77
NPR,Nepalese Rupee,Bank,BANK,118.29,122.58,113.20
OMR,Rial Omani,Bank,BANK,0.39,0.40,0.37
PEN,Nuevo Sol,Bank,BANK,3.34,3.46,3.20
PGK,Kina,Bank,BANK,3.36,3.48,3.22
PKR,Pakistan Rupee,Bank,BANK,106.26,110.11,101.68
PYG,Guarani,Bank,BANK,5966.80,6183.21,5709.86
QAR,Qatari Rial,Bank,BANK,3.64,3.77,3.48
RON,New Romanian Leu,Bank,BANK,4.03,4.18,3.86
RSD,Serbian Dinar,Bank,BANK,102.11,105.81,97.71
RUB,Russian Ruble,Bank,BANK,65.52,67.90,62.70
RWF,Rwanda Franc,Bank,BANK,887.32,919.50,849.11
SAR,Saudi Riyal,Bank,BANK,3.75,3.89,3.59
SBD,Solomon Islands Dollar,Bank,BANK,7.94,8.23,7.60
SCR,Seychelles Rupee,Bank,BANK,13.62,14.11,13.03
SHP,Saint Helena Pound,Bank,BANK,0.76,0.79,0.73
SLL,Leone,Bank,BANK,8390.00,8694.30,8028.71
SRD,Surinam Dollar,Bank,BANK,7.46,7.73,7.14
STD,Dobra,Bank,BANK,21109.97,21875.62,20200.93
SYP,Syrian Pound,Bank,BANK,515.01,533.69,492.83
SZL,Lilangeni,Bank,BANK,14.44,14.96,13.82
THB,Baht,Bank,BANK,32.64,33.82,31.23
TJS,Somoni,Bank,BANK,9.43,9.77,9.02
TMT,Turkmenistan New Manat,Bank,BANK,3.51,3.64,3.36
TND,Tunisian Dinar,Bank,BANK,2.86,2.96,2.74
TOP,Pa'anga,Bank,BANK,2.31,2.39,2.21
TRY,Turkish Lira,Bank,BANK,5.78,5.99,5.53
TTD,Trinidad and Tobago Dollar,Bank,BANK,6.75,6.99,6.46
TWD,New Taiwan Dollar,Bank,BANK,30.86,31.98,29.53
TZS,Tanzanian Shilling,Bank,BANK,2287.90,2370.88,2189.38
UAH,Hryvnia,Bank,BANK,27.96,28.97,26.76
UGX,Uganda Shilling,Bank,BANK,3785.09,3922.37,3622.10
UYU,Peso Uruguayo,Bank,BANK,32.98,34.18,31.56
UZS,Uzbekistan Sum,Bank,BANK,8192.12,8489.24,7839.35
VES,Bolivar Soberano,Bank,BANK,142.99,152.12,134.90
VND,Dong,Bank,BANK,23255.12,24098.57,22253.70
VUV,Vatu,Bank,BANK,111.30,115.34,106.51
WST,Tala,Bank,BANK,2.62,2.72,2.51
XAF,CFA Franc BEAC,Bank,BANK,566.25,586.79,541.87
XCD,East Caribbean Dollar,Bank,BANK,2.70,2.80,2.58
XOF,CFA Franc BCEAO,Bank,BANK,566.25,586.79,541.87
XPF,CFP Franc,Bank,BANK,103.01,106.75,98.57
YER,Yemeni Rial,Bank,BANK,250.35,259.43,239.57
ZAR,Rand,Bank,BANK,14.34,14.86,13.72
ZMW,Zambian Kwacha,Bank,BANK,12.24,12.68,11.71
ZWL,Zimbabwe Dollar,Bank,BANK,322.36,334.05,308.48
UGX,Uganda Shilling,Binusu,CRYPTO,3785.09,3984.31,3604.85
COP,Colombian Pesos,DaviPlata,MOBILE,2975.16,3151.65,2754.78
GOOG,Google USD,Google Play Gift Card,VOUCHER,1.00,1.04,0.97
ITUN,iTunes USD,iTunes Gift Card,VOUCHER,1.00,1.04,0.97
ARS,Argentine Peso,Mercado Pago,ETRANSFER,36.69,38.22,35.28
BRL,Reais,Mercado Pago,ETRANSFER,3.84,4.00,3.69
CLP,Chilean Peso,Mercado Pago,ETRANSFER,677.50,705.73,651.44
COP,Colombian Pesos,Mercado Pago,ETRANSFER,2975.16,3099.12,2860.73
UYU,Peso Uruguayo,Mercado Pago,ETRANSFER,32.98,34.35,31.71
VES,Bolivar Soberano,Mercado Pago,ETRANSFER,142.99,148.95,137.49
AFN,Afghani,MoneyGram,CASH,76.18,83.71,70.54
ALL,Lek,MoneyGram,CASH,108.12,118.81,100.11
AMD,Armenian Dram,MoneyGram,CASH,486.16,534.24,450.15
ANG,Netherlands Antillean Guilder,MoneyGram,CASH,1.78,1.96,1.65
AOA,Kwanza,MoneyGram,CASH,302.17,332.05,279.79
ARS,Argentine Peso,MoneyGram,CASH,36.69,40.32,33.97
AWG,Aruban Florin,MoneyGram,CASH,1.80,1.98,1.67
AZN,Azerbaijanian Manat,MoneyGram,CASH,1.70,1.87,1.57
BAM,Convertible Mark,MoneyGram,CASH,1.69,1.86,1.56
BBD,Barbados Dollar,MoneyGram,CASH,2.00,2.20,1.85
BDT,Taka,MoneyGram,CASH,83.93,92.23,77.71
BGN,Bulgarian Lev,MoneyGram,CASH,1.69,1.86,1.56
BHD,Bahraini Dinar,MoneyGram,CASH,0.38,0.42,0.35
BIF,Burundi Franc,MoneyGram,CASH,1778.80,1954.73,1647.04
BMD,Bermudian Dollar,MoneyGram,CASH,1.00,1.10,0.93
BND,Brunei Dollar,MoneyGram,CASH,1.41,1.55,1.31
BOB,Bolivian boliviano,MoneyGram,CASH,6.92,7.60,6.41
BRL,Reais,MoneyGram,CASH,3.84,4.22,3.56
BSD,Bahamian Dollar,MoneyGram,CASH,1.00,1.10,0.93
BWP,Pula,MoneyGram,CASH,10.70,11.76,9.91
BYR,Belarussian Ruble,MoneyGram,CASH,20020.00,22000.00,18537.04
BZD,Belize Dollar,MoneyGram,CASH,2.01,2.21,1.86
CDF,Congolese Franc,MoneyGram,CASH,1644.75,1807.42,1522.92
CLP,Chilean Peso,MoneyGram,CASH,677.50,744.51,627.31
COP,Colombian Pesos,MoneyGram,CASH,2975.16,3269.41,2754.78
CRC,Costa Rican Colon,MoneyGram,CASH,597.78,656.90,553.50
CUP,Cuban Peso,MoneyGram,CASH,25.75,28.30,23.84
CVE,Cabo Verde Escudo,MoneyGram,CASH,95.35,104.78,88.29
CZK,Czech Koruna,MoneyGram,CASH,22.29,24.49,20.64
DJF,Djibouti Franc,MoneyGram,CASH,178.00,195.60,164.81
DOP,Dominican Peso,MoneyGram,CASH,49.99,54.93,46.29
DZD,Algerian Dinar,MoneyGram,CASH,118.41,130.12,109.64
EGP,Egyptian Pound,MoneyGram,CASH,17.92,19.69,16.59
ERN,Nakfa,MoneyGram,CASH,15.00,16.48,13.89
ETB,Ethiopian Birr,MoneyGram,CASH,27.85,30.60,25.79
FJD,Fiji Dollar,MoneyGram,CASH,2.13,2.34,1.97
FKP,Falkland Islands Pound,MoneyGram,CASH,0.76,0.84,0.70
GEL,Lari,MoneyGram,CASH,2.45,2.69,2.27
GHS,Ghana Cedi,MoneyGram,CASH,4.92,5.41,4.56
GIP,Gibraltar Pound,MoneyGram,CASH,0.76,0.84,0.70
GMD,Dalasi,MoneyGram,CASH,49.46,54.35,45.80
GNF,Guinea Franc,MoneyGram,CASH,9060.74,9956.86,8389.57
GTQ,Quetzal,MoneyGram,CASH,7.75,8.52,7.18
GYD,Guyana Dollar,MoneyGram,CASH,209.49,230.21,193.97
HNL,Lempira,MoneyGram,CASH,24.07,26.45,22.29
HRK,Croatian Kuna,MoneyGram,CASH,6.40,7.03,5.93
HTG,Haitian Gourde,MoneyGram,CASH,69.90,76.81,64.72
HUF,Forint,MoneyGram,CASH,278.53,306.08,257.90
IDR,Rupiah,MoneyGram,CASH,15218.43,16723.55,14091.14
INR,Indian Rupee,MoneyGram,CASH,75.06,82.48,69.50
IQD,Iraqi Dinar,MoneyGram,CASH,1194.82,1312.99,1106.31
IRR,Iranian Rial,MoneyGram,CASH,42496.64,46699.60,39348.74
ISK,Iceland Krona,MoneyGram,CASH,116.20,127.69,107.59
